ENSG00000282787	RP11-151A10.3
ENSG00000170482	SLC23A1
ENSG00000260625	RP11-452L6.7
ENSG00000132623	ANKEF1
ENSG00000105146	AURKC
ENSG00000273175	RP11-11N7.4
ENSG00000163132	MSX1
ENSG00000273174	RP11-434H6.6
ENSG00000254598	CSNK2A3
ENSG00000135069	PSAT1
ENSG00000268650	AC068499.10
ENSG00000228701	TNKS2-AS1
ENSG00000270672	MTRNR2L6
ENSG00000235576	AC092580.4
ENSG00000174946	GPR171
ENSG00000168779	SHOX2
ENSG00000107611	CUBN
ENSG00000198435	NRARP
ENSG00000237638	AC007386.2
ENSG00000254162	RP11-48B3.3
ENSG00000268509	RP11-572B2.1
ENSG00000224660	SH3BP5-AS1
ENSG00000263335	AF001548.5
ENSG00000268030	AC005253.2
ENSG00000186105	LRRC70
ENSG00000260924	LINC01311
ENSG00000146856	AGBL3
ENSG00000131398	KCNC3
ENSG00000233030	RP11-196G18.3
ENSG00000142235	LMTK3
ENSG00000269194	AC006942.4
ENSG00000069812	HES2
ENSG00000246889	AP000487.5
ENSG00000189149	CRYM-AS1
ENSG00000257839	RP11-290L1.2
ENSG00000102038	SMARCA1
ENSG00000107317	PTGDS
ENSG00000159917	ZNF235
ENSG00000234222	RP11-315I20.1
ENSG00000163126	ANKRD23
ENSG00000273373	RP5-1074L1.4
ENSG00000182329	KIAA2012
ENSG00000136404	TM6SF1
ENSG00000149527	PLCH2
ENSG00000116285	ERRFI1
ENSG00000229178	AC069513.4
ENSG00000176909	MAMSTR
ENSG00000135622	SEMA4F
ENSG00000247287	RP11-902B17.1
ENSG00000251323	RP11-452H21.4
ENSG00000186960	LINC01551
ENSG00000130956	HABP4
ENSG00000187116	LILRA5
ENSG00000151490	PTPRO
ENSG00000230798	FOXD3-AS1
ENSG00000124466	LYPD3
ENSG00000261326	LINC01355
ENSG00000125531	C20orf195
ENSG00000270589	RP11-348N5.7
ENSG00000185864	NPIPB4
ENSG00000117016	RIMS3
ENSG00000103034	NDRG4
ENSG00000001630	CYP51A1
ENSG00000215912	TTC34
ENSG00000241490	RP11-553L6.2
ENSG00000273045	C2orf15
ENSG00000211660	IGLV2-23
ENSG00000101198	NKAIN4
ENSG00000213213	CCDC183
ENSG00000221949	LINC01465
ENSG00000172379	ARNT2
ENSG00000228590	AC007381.3
ENSG00000134070	IRAK2
ENSG00000117525	F3
ENSG00000109943	CRTAM
ENSG00000151320	AKAP6
ENSG00000128383	APOBEC3A
ENSG00000105664	COMP
ENSG00000274021	RP11-823E8.3
ENSG00000163576	EFHB
ENSG00000162738	VANGL2
ENSG00000141736	ERBB2
ENSG00000164398	ACSL6
ENSG00000101846	STS
ENSG00000057657	PRDM1
ENSG00000170458	CD14
ENSG00000109436	TBC1D9
ENSG00000275265	RP11-15J22.8
ENSG00000214145	LINC00887
ENSG00000213949	ITGA1
ENSG00000185101	ANO9
ENSG00000223502	RP11-96B5.3
ENSG00000243335	KCTD7
ENSG00000274904	CTD-2515O10.5
ENSG00000111537	IFNG
ENSG00000169047	IRS1
ENSG00000104081	BMF
ENSG00000172243	CLEC7A
ENSG00000230709	AC104024.1
ENSG00000273384	RP5-1098D14.1
ENSG00000214770	RP11-544I20.2
ENSG00000183287	CCBE1
ENSG00000253645	CTD-2544N14.3
ENSG00000185674	LYG2
ENSG00000253522	MIR3142HG
ENSG00000112320	SOBP
ENSG00000240505	TNFRSF13B
ENSG00000073861	TBX21
ENSG00000181523	SGSH
ENSG00000225187	AC073283.7
ENSG00000133878	DUSP26
ENSG00000196263	ZNF471
ENSG00000257127	CLLU1
ENSG00000240563	L1TD1
ENSG00000272468	RP1-86C11.7
ENSG00000129219	PLD2
ENSG00000035664	DAPK2
ENSG00000176406	RIMS2
ENSG00000184060	ADAP2
ENSG00000228863	RP11-404F10.2
ENSG00000272894	RP5-1159O4.1
ENSG00000170323	FABP4
ENSG00000232010	AP001059.5
ENSG00000169507	SLC38A11
ENSG00000234572	AC007880.1
ENSG00000116544	DLGAP3
ENSG00000160654	CD3G
ENSG00000154646	TMPRSS15
ENSG00000239941	RP11-246A10.1
ENSG00000106018	VIPR2
ENSG00000227218	RP11-203J24.8
ENSG00000205038	PKHD1L1
ENSG00000165633	VSTM4
ENSG00000174136	RGMB
ENSG00000038427	VCAN
ENSG00000283064	RP1-221C16.8
ENSG00000205784	ARRDC5
ENSG00000177112	MRVI1-AS1
ENSG00000225938	RP4-575N6.4
ENSG00000075275	CELSR1
ENSG00000167244	IGF2
ENSG00000180644	PRF1
ENSG00000076706	MCAM
ENSG00000273221	RP5-1180E21.5
ENSG00000149970	CNKSR2
ENSG00000163564	PYHIN1
ENSG00000162069	CCDC64B
ENSG00000236947	RP11-98G7.1
ENSG00000167476	JSRP1
ENSG00000108556	CHRNE
ENSG00000134020	PEBP4
ENSG00000171045	TSNARE1
ENSG00000272986	RP11-46J23.1
ENSG00000161281	COX7A1
ENSG00000178217	SH2D4B
ENSG00000176809	LRRC37A3
ENSG00000073711	PPP2R3A
ENSG00000240005	RP11-293A21.1
ENSG00000225889	AC074289.1
ENSG00000261584	RP11-457M11.5
ENSG00000185436	IFNLR1
ENSG00000247373	RP11-486O12.2
ENSG00000181031	RPH3AL
ENSG00000255468	RP11-867G23.8
ENSG00000274818	RP1-292L20.3
ENSG00000156172	C8orf37
ENSG00000013392	RWDD2A
ENSG00000253140	RP11-567J20.3
ENSG00000103196	CRISPLD2
ENSG00000139899	CBLN3
ENSG00000259772	RP11-16E12.2
ENSG00000166289	PLEKHF1
ENSG00000263220	RP11-420A6.2
ENSG00000173991	TCAP
ENSG00000127364	TAS2R4
ENSG00000264734	RP11-260A9.6
ENSG00000187912	CLEC17A
ENSG00000272182	RP11-802O23.3
ENSG00000278615	C11orf98
ENSG00000026751	SLAMF7
ENSG00000206418	RAB12
ENSG00000177025	C19orf18
ENSG00000036530	CYP46A1
ENSG00000255949	AP003419.16
ENSG00000172116	CD8B
ENSG00000235098	ANKRD65
ENSG00000164949	GEM
ENSG00000222009	BTBD19
ENSG00000264569	RP13-650J16.1
ENSG00000213782	DDX47
ENSG00000247157	LINC01252
ENSG00000262873	CTD-2561B21.11
ENSG00000267282	CTB-129P6.4
ENSG00000230438	SERPINB9P1
ENSG00000103056	SMPD3
ENSG00000269243	CTD-2231E14.8
ENSG00000182379	NXPH4
ENSG00000223929	MIR4432HG
ENSG00000151474	FRMD4A
ENSG00000261242	CTD-2302E22.4
ENSG00000231769	RP1-8B1.4
ENSG00000272240	RP5-855D21.1
ENSG00000225830	ERCC6
ENSG00000255537	AP000708.1
ENSG00000042286	AIFM2
ENSG00000180616	SSTR2
ENSG00000226266	AC009961.3
ENSG00000277476	RP11-147L13.13
ENSG00000243290	IGKV1-12
ENSG00000158825	CDA
ENSG00000179240	RP11-111M22.2
ENSG00000123989	CHPF
ENSG00000205929	C21orf62
ENSG00000150281	CTF1
ENSG00000136014	USP44
ENSG00000090932	DLL3
ENSG00000261879	RP11-333E1.1
ENSG00000185250	PPIL6
ENSG00000105270	CLIP3
ENSG00000196659	TTC30B
ENSG00000273010	RP11-96K19.5
ENSG00000126266	FFAR1
ENSG00000274292	RP11-347I19.7
ENSG00000257433	RP1-197B17.3
ENSG00000182993	C12orf60
ENSG00000163492	CCDC141
ENSG00000235314	LINC00957
ENSG00000155760	FZD7
ENSG00000169994	MYO7B
ENSG00000231473	LINC00441
ENSG00000122786	CALD1
ENSG00000154309	DISP1
ENSG00000268006	PTOV1-AS1
ENSG00000262429	RP5-1050D4.3
ENSG00000232788	AC078883.3
ENSG00000124613	ZNF391
ENSG00000128045	RASL11B
ENSG00000261008	LINC01572
ENSG00000099338	CATSPERG
ENSG00000152192	POU4F1
ENSG00000124107	SLPI
ENSG00000267787	RP11-35G9.5
ENSG00000142910	TINAGL1
ENSG00000185261	KIAA0825
ENSG00000262089	RP11-589P10.5
ENSG00000105642	KCNN1
ENSG00000282961	PRNCR1
ENSG00000153898	MCOLN2
ENSG00000224790	AP000704.5
ENSG00000081377	CDC14B
ENSG00000275342	SGK223
ENSG00000164674	SYTL3
ENSG00000181016	LSMEM1
ENSG00000259332	ST20-MTHFS
ENSG00000165949	IFI27
ENSG00000163069	SGCB
ENSG00000063127	SLC6A16
ENSG00000135625	EGR4
ENSG00000251661	RP11-326C3.11
ENSG00000143178	TBX19
ENSG00000125726	CD70
ENSG00000136541	ERMN
ENSG00000167371	PRRT2
ENSG00000074657	ZNF532
ENSG00000127954	STEAP4
ENSG00000244701	RP5-894A10.2
ENSG00000240401	AC012358.8
ENSG00000188825	LINC00910
ENSG00000271870	RP11-97C16.1
ENSG00000163462	TRIM46
ENSG00000188112	C6orf132
ENSG00000158458	NRG2
ENSG00000130158	DOCK6
ENSG00000249786	EAF1-AS1
ENSG00000256453	DND1
ENSG00000173531	MST1
ENSG00000197016	ZNF470
ENSG00000166592	RRAD
ENSG00000232645	LINC01431
ENSG00000160321	ZNF208
ENSG00000267270	PARD6G-AS1
ENSG00000110448	CD5
ENSG00000133131	MORC4
ENSG00000266677	RP11-258F1.1
ENSG00000261505	LA16c-358B7.3
ENSG00000204165	CXorf65
ENSG00000174871	CNIH2
ENSG00000051128	HOMER3
ENSG00000185669	SNAI3
ENSG00000105290	APLP1
ENSG00000162407	PLPP3
ENSG00000100490	CDKL1
ENSG00000112195	TREML2
ENSG00000106952	TNFSF8
ENSG00000073605	GSDMB
ENSG00000229196	RP11-775D22.2
ENSG00000019144	PHLDB1
ENSG00000116128	BCL9
ENSG00000140092	FBLN5
ENSG00000159648	TEPP
ENSG00000272384	RP11-44N11.2
ENSG00000135299	ANKRD6
ENSG00000175600	SUGCT
ENSG00000182676	PPP1R27
ENSG00000175505	CLCF1
ENSG00000225205	AC093818.1
ENSG00000240875	LINC00886
ENSG00000090097	PCBP4
ENSG00000260261	RP11-480A16.1
ENSG00000139714	MORN3
ENSG00000280433	CH507-9B2.9
ENSG00000229719	MIR194-2HG
ENSG00000117322	CR2
ENSG00000122481	RWDD3
ENSG00000197580	BCO2
ENSG00000198719	DLL1
ENSG00000183066	WBP2NL
ENSG00000161328	LRRC56
ENSG00000276116	FUT8-AS1
ENSG00000271254	AC240274.1
ENSG00000188906	LRRK2
ENSG00000213859	KCTD11
ENSG00000260526	RP11-73K9.2
ENSG00000211598	IGKV4-1
ENSG00000266088	RP5-1028K7.2
ENSG00000257345	RP11-511B23.1
ENSG00000238057	ZEB2-AS1
ENSG00000106003	LFNG
ENSG00000178573	MAF
ENSG00000006432	MAP3K9
ENSG00000106789	CORO2A
ENSG00000178726	THBD
ENSG00000135119	RNFT2
ENSG00000132801	ZSWIM3
ENSG00000276651	AC007950.2
ENSG00000275799	AP001059.7
ENSG00000088899	RP5-1187M17.10
ENSG00000085265	FCN1
ENSG00000237343	RP11-763B22.4
ENSG00000255760	RP11-428G5.5
ENSG00000232098	CTD-2619J13.14
ENSG00000171408	PDE7B
ENSG00000153563	CD8A
ENSG00000204632	HLA-G
ENSG00000197380	DACT3
ENSG00000160606	TLCD1
ENSG00000115844	DLX2
ENSG00000163221	S100A12
ENSG00000127990	SGCE
ENSG00000007516	BAIAP3
ENSG00000185483	ROR1
ENSG00000241163	LINC00877
ENSG00000099954	CECR2
ENSG00000103647	CORO2B
ENSG00000211893	IGHG2
ENSG00000100079	LGALS2
ENSG00000108821	COL1A1
ENSG00000278831	RP11-12J10.4
ENSG00000231507	LINC01353
ENSG00000102755	FLT1
ENSG00000197520	FAM177B
ENSG00000178222	RNF212
ENSG00000139174	PRICKLE1
ENSG00000153253	SCN3A
ENSG00000272196	HIST2H2AA4
ENSG00000157429	ZNF19
ENSG00000163958	ZDHHC19
ENSG00000154511	FAM69A
ENSG00000160325	CACFD1
ENSG00000150625	GPM6A
ENSG00000106333	PCOLCE
ENSG00000225442	MPRIP-AS1
ENSG00000105928	DFNA5
ENSG00000111696	NT5DC3
ENSG00000196967	ZNF585A
ENSG00000049246	PER3
ENSG00000245888	FLJ21408
ENSG00000179299	NSUN7
ENSG00000158079	PTPDC1
ENSG00000176222	ZNF404
ENSG00000260231	JHDM1D-AS1
ENSG00000162650	ATXN7L2
ENSG00000259384	GH1
ENSG00000183154	RP11-863K10.7
ENSG00000092529	CAPN3
ENSG00000127325	BEST3
ENSG00000172005	MAL
ENSG00000162510	MATN1
ENSG00000187260	WDR86
ENSG00000114670	NEK11
ENSG00000112232	KHDRBS2
ENSG00000244479	OR2A1-AS1
ENSG00000263002	ZNF234
ENSG00000176749	CDK5R1
ENSG00000226696	LENG8-AS1
ENSG00000169129	AFAP1L2
ENSG00000109684	CLNK
ENSG00000186174	BCL9L
ENSG00000276259	RP11-481J2.4
ENSG00000247796	CTD-2366F13.1
ENSG00000273076	RP3-508I15.22
ENSG00000091986	CCDC80
ENSG00000109762	SNX25
ENSG00000183826	BTBD9
ENSG00000189134	NKAPL
ENSG00000143786	CNIH3
ENSG00000237773	AC003075.4
ENSG00000275672	GATM-AS1
ENSG00000230138	RP11-117D22.2
ENSG00000241666	RP3-455J7.4
ENSG00000276728	AC142472.6
ENSG00000225746	SNHG23
ENSG00000128596	CCDC136
ENSG00000171794	UTF1
ENSG00000126368	NR1D1
ENSG00000120784	ZFP30
ENSG00000272906	RP11-533E19.7
ENSG00000184113	CLDN5
ENSG00000188996	HUS1B
ENSG00000102349	KLF8
ENSG00000139132	FGD4
ENSG00000236255	AC009404.2
ENSG00000175928	LRRN1
ENSG00000278231	RP5-906C1.1
ENSG00000049769	PPP1R3F
ENSG00000139890	REM2
ENSG00000171208	NETO2
ENSG00000232712	KIZ-AS1
ENSG00000197933	ZNF823
ENSG00000050438	SLC4A8
ENSG00000264343	NOTCH2NL
ENSG00000196083	IL1RAP
ENSG00000108786	HSD17B1
ENSG00000061656	SPAG4
ENSG00000120458	MSANTD2
ENSG00000053918	KCNQ1
ENSG00000278740	RP11-147L13.14
ENSG00000174171	RP11-23P13.6
ENSG00000149922	TBX6
ENSG00000272841	RP3-428L16.2
ENSG00000114790	ARHGEF26
ENSG00000173805	HAP1
ENSG00000245571	AP001258.4
ENSG00000188215	DCUN1D3
ENSG00000197121	PGAP1
ENSG00000150045	KLRF1
ENSG00000166188	ZNF319
ENSG00000010704	HFE
ENSG00000085382	HACE1
ENSG00000245534	RORA-AS1
ENSG00000213799	ZNF845
ENSG00000238045	AC009133.12
ENSG00000267011	CTB-50L17.16
ENSG00000095739	BAMBI
ENSG00000079385	CEACAM1
ENSG00000158270	COLEC12
ENSG00000198576	ARC
ENSG00000273729	RP11-7F17.8
ENSG00000086544	ITPKC
ENSG00000149177	PTPRJ
ENSG00000270361	RP11-307C12.13
ENSG00000262020	RP11-66H6.3
ENSG00000173706	HEG1
ENSG00000155367	PPM1J
ENSG00000211829	TRDC
ENSG00000272583	RP11-344P13.6
ENSG00000274180	NATD1
ENSG00000231609	AC009501.4
ENSG00000280969	RPS4Y2
ENSG00000260493	RP11-219B4.7
ENSG00000174327	SLC16A13
ENSG00000275418	RP11-126O1.6
ENSG00000204580	DDR1
ENSG00000010932	FMO1
ENSG00000245869	RP11-158I9.5
ENSG00000198064	RP11-347C12.1
ENSG00000257176	RP11-996F15.2
ENSG00000223881	RP11-553K8.2
ENSG00000162825	NBPF20
ENSG00000146592	CREB5
ENSG00000131042	LILRB2
ENSG00000166086	JAM3
ENSG00000117090	SLAMF1
ENSG00000126583	PRKCG
ENSG00000253673	CTC-436K13.1
ENSG00000165617	DACT1
ENSG00000273136	NBPF26
ENSG00000174151	CYB561D1
ENSG00000272764	RP11-318E3.9
ENSG00000103528	SYT17
ENSG00000169583	CLIC3
ENSG00000158481	CD1C
ENSG00000184574	LPAR5
ENSG00000173011	TADA2B
ENSG00000198003	CCDC151
ENSG00000178852	EFCAB13
ENSG00000176236	C10orf111
ENSG00000167680	SEMA6B
ENSG00000079337	RAPGEF3
ENSG00000160293	VAV2
ENSG00000255337	RP11-315O6.1
ENSG00000186854	TRABD2A
ENSG00000186891	TNFRSF18
ENSG00000232698	AP001058.3
ENSG00000259577	RP11-430B1.2
ENSG00000145723	GIN1
ENSG00000198855	FICD
ENSG00000182534	MXRA7
ENSG00000260360	RP11-533E19.5
ENSG00000174469	CNTNAP2
ENSG00000260271	RP1-45N11.1
ENSG00000246366	LACTB2-AS1
ENSG00000260274	RP11-817O13.8
ENSG00000164764	SBSPON
ENSG00000013725	CD6
ENSG00000101400	SNTA1
ENSG00000238164	RP3-395M20.8
ENSG00000008311	AASS
ENSG00000197837	HIST4H4
ENSG00000096433	ITPR3
ENSG00000134539	KLRD1
ENSG00000106236	NPTX2
ENSG00000168679	SLC16A4
ENSG00000227191	TRGC2
ENSG00000273156	RP11-127B20.2
ENSG00000260979	RP11-77H9.8
ENSG00000164970	FAM219A
ENSG00000250303	RP11-356J5.12
ENSG00000104689	TNFRSF10A
ENSG00000071242	RPS6KA2
ENSG00000116852	KIF21B
ENSG00000269514	RP11-370I10.12
ENSG00000078814	MYH7B
ENSG00000204920	ZNF155
ENSG00000280560	LINC01374
ENSG00000182809	CRIP2
ENSG00000174326	SLC16A11
ENSG00000111424	VDR
ENSG00000152778	IFIT5
ENSG00000198205	ZXDA
ENSG00000272993	RP11-196G18.24
ENSG00000008853	RHOBTB2
ENSG00000144749	LRIG1
ENSG00000113916	BCL6
ENSG00000079691	LRRC16A
ENSG00000154380	ENAH
ENSG00000228126	FALEC
ENSG00000276075	CTD-2012K14.8
ENSG00000275645	RP11-817O13.9
ENSG00000067113	PLPP1
ENSG00000245522	RP11-540A21.2
ENSG00000275180	RP11-631N16.4
ENSG00000112033	PPARD
ENSG00000242258	LINC00996
ENSG00000174125	TLR1
ENSG00000110944	IL23A
ENSG00000279278	CH17-264L24.1
ENSG00000152894	PTPRK
ENSG00000115109	EPB41L5
ENSG00000136244	IL6
ENSG00000003249	DBNDD1
ENSG00000100351	GRAP2
ENSG00000165959	CLMN
ENSG00000272144	CTD-2035E11.5
ENSG00000141837	CACNA1A
ENSG00000131724	IL13RA1
ENSG00000129566	TEP1
ENSG00000166707	ZCCHC18
ENSG00000174405	LIG4
ENSG00000163376	KBTBD8
ENSG00000197705	KLHL14
ENSG00000188290	HES4
ENSG00000246451	RP11-894P9.1
ENSG00000267058	RP11-15A1.3
ENSG00000100968	NFATC4
ENSG00000205683	DPF3
ENSG00000183762	KREMEN1
ENSG00000235621	LINC00494
ENSG00000236935	AP003774.1
ENSG00000232490	OSBPL10-AS1
ENSG00000105426	PTPRS
ENSG00000257950	P2RX5-TAX1BP3
ENSG00000276070	CCL4L2
ENSG00000178199	ZC3H12D
ENSG00000161921	CXCL16
ENSG00000226979	LTA
ENSG00000267458	CTC-425F1.4
ENSG00000263264	CTB-133G6.1
ENSG00000198752	CDC42BPB
ENSG00000167216	KATNAL2
ENSG00000165682	CLEC1B
ENSG00000272145	NFYC-AS1
ENSG00000163686	ABHD6
ENSG00000179630	LACC1
ENSG00000273148	RP5-1068E13.7
ENSG00000175691	ZNF77
ENSG00000109771	LRP2BP
ENSG00000261416	RP11-455F5.5
ENSG00000183044	ABAT
ENSG00000175787	ZNF169
ENSG00000072163	LIMS2
ENSG00000105963	ADAP1
ENSG00000189409	MMP23B
ENSG00000205885	C1RL-AS1
ENSG00000278709	NKILA
ENSG00000136828	RALGPS1
ENSG00000223473	GS1-124K5.3
ENSG00000228672	PROB1
ENSG00000163545	NUAK2
ENSG00000164073	MFSD8
ENSG00000111344	RASAL1
ENSG00000135318	NT5E
ENSG00000198873	GRK5
ENSG00000255328	RP11-326C3.12
ENSG00000198848	CES1
ENSG00000155465	SLC7A7
ENSG00000261366	MANEA-AS1
ENSG00000130653	PNPLA7
ENSG00000242265	PEG10
ENSG00000226200	SGMS1-AS1
ENSG00000168913	ENHO
ENSG00000137269	LRRC1
ENSG00000204623	ZNRD1-AS1
ENSG00000248559	RP11-215P8.3
ENSG00000185220	PGBD2
ENSG00000137441	FGFBP2
ENSG00000163406	SLC15A2
ENSG00000101470	TNNC2
ENSG00000138642	HERC6
ENSG00000158715	SLC45A3
ENSG00000198821	CD247
ENSG00000167034	NKX3-1
ENSG00000168811	IL12A
ENSG00000260507	RP11-356C4.3
ENSG00000141506	PIK3R5
ENSG00000158773	USF1
ENSG00000188033	ZNF490
ENSG00000264269	RP11-15F12.1
ENSG00000156265	MAP3K7CL
ENSG00000268895	A1BG-AS1
ENSG00000198075	SULT1C4
ENSG00000269038	AP001462.6
ENSG00000137166	FOXP4
ENSG00000134955	SLC37A2
ENSG00000129951	PLPPR3
ENSG00000135205	CCDC146
ENSG00000219481	NBPF1
ENSG00000260621	RP11-413H22.2
ENSG00000164620	RELL2
ENSG00000167748	KLK1
ENSG00000151014	NOCT
ENSG00000104154	SLC30A4
ENSG00000167702	KIFC2
ENSG00000125266	EFNB2
ENSG00000184905	TCEAL2
ENSG00000234449	RP11-706O15.3
ENSG00000179886	TIGD5
ENSG00000150938	CRIM1
ENSG00000112303	VNN2
ENSG00000182405	PGBD4
ENSG00000169991	IFFO2
ENSG00000247121	CTD-2260A17.2
ENSG00000122877	EGR2
ENSG00000204758	CTC-308K20.1
ENSG00000261220	RP11-629O1.2
ENSG00000221916	C19orf73
ENSG00000178229	ZNF543
ENSG00000135925	WNT10A
ENSG00000130702	LAMA5
ENSG00000011332	DPF1
ENSG00000272918	CTB-152G17.6
ENSG00000270344	RP11-734K2.4
ENSG00000146285	SCML4
ENSG00000130940	CASZ1
ENSG00000072201	LNX1
ENSG00000144445	KANSL1L
ENSG00000262420	RP11-490O6.2
ENSG00000151116	UEVLD
ENSG00000188375	H3F3C
ENSG00000260000	RP3-467N11.1
ENSG00000072134	EPN2
ENSG00000156966	B3GNT7
ENSG00000231551	RP11-495P10.1
ENSG00000196381	ZNF781
ENSG00000203325	RP11-277A4.4
ENSG00000266378	RP11-214O1.3
ENSG00000198455	ZXDB
ENSG00000107201	DDX58
ENSG00000147408	CSGALNACT1
ENSG00000114166	KAT2B
ENSG00000261218	RP11-960L18.1
ENSG00000142102	ATHL1
ENSG00000270605	RP5-1092A3.4
ENSG00000139679	LPAR6
ENSG00000205791	LOH12CR2
ENSG00000149591	TAGLN
ENSG00000179909	ZNF154
ENSG00000168807	SNTB2
ENSG00000137070	IL11RA
ENSG00000132849	INADL
ENSG00000165046	LETM2
ENSG00000214106	PAXIP1-AS2
ENSG00000062524	LTK
ENSG00000184305	CCSER1
ENSG00000251330	CTD-2283N19.1
ENSG00000099953	MMP11
ENSG00000255046	RP11-297N6.4
ENSG00000197540	GZMM
ENSG00000224505	AC002117.1
ENSG00000140044	JDP2
ENSG00000141458	NPC1
ENSG00000230454	U73166.2
ENSG00000223653	RP11-131L23.1
ENSG00000129757	CDKN1C
ENSG00000114948	ADAM23
ENSG00000136153	LMO7
ENSG00000168140	VASN
ENSG00000124256	ZBP1
ENSG00000101986	ABCD1
ENSG00000183060	LYSMD4
ENSG00000211751	TRBC1
ENSG00000272931	RP5-943J3.2
ENSG00000239453	SIDT1-AS1
ENSG00000197238	HIST1H4J
ENSG00000174123	TLR10
ENSG00000090776	EFNB1
ENSG00000261732	LA16c-431H6.6
ENSG00000197782	ZNF780A
ENSG00000224165	DNAJC27-AS1
ENSG00000145649	GZMA
ENSG00000197808	ZNF461
ENSG00000235706	DICER1-AS1
ENSG00000130561	SAG
ENSG00000063015	SEZ6
ENSG00000198324	FAM109A
ENSG00000165626	BEND7
ENSG00000188822	CNR2
ENSG00000254802	AC022182.3
ENSG00000270019	RP11-141B14.1
ENSG00000250361	GYPB
ENSG00000155093	PTPRN2
ENSG00000265008	RP11-53I6.3
ENSG00000246334	PRR7-AS1
ENSG00000280213	UCKL1-AS1
ENSG00000174944	P2RY14
ENSG00000265739	RP11-354P11.3
ENSG00000189114	BLOC1S3
ENSG00000262655	SPON1
ENSG00000279816	AC010287.1
ENSG00000198598	MMP17
ENSG00000170989	S1PR1
ENSG00000266964	FXYD1
ENSG00000120278	PLEKHG1
ENSG00000158023	WDR66
ENSG00000155657	TTN
ENSG00000274897	PANO1
ENSG00000004939	SLC4A1
ENSG00000218018	RP4-800J21.3
ENSG00000259834	RP11-284N8.3
ENSG00000270562	RP11-154H23.3
ENSG00000281358	RASSF1-AS1
ENSG00000139193	CD27
ENSG00000203709	C1orf132
ENSG00000163687	DNASE1L3
ENSG00000237513	RP11-325F22.2
ENSG00000259436	CTC-378H22.2
ENSG00000232019	AC074183.4
ENSG00000101445	PPP1R16B
ENSG00000138185	ENTPD1
ENSG00000166349	RAG1
ENSG00000213420	GPC2
ENSG00000101665	SMAD7
ENSG00000030419	IKZF2
ENSG00000148158	SNX30
ENSG00000247131	RP11-588G21.2
ENSG00000165905	GYLTL1B
ENSG00000092758	COL9A3
ENSG00000152217	SETBP1
ENSG00000239961	LILRA4
ENSG00000225880	LINC00115
ENSG00000239521	GATS
ENSG00000269220	LINC00528
ENSG00000082293	COL19A1
ENSG00000068971	PPP2R5B
ENSG00000270659	RP11-105N14.1
ENSG00000282393	CTD-3113P16.11
ENSG00000144824	PHLDB2
ENSG00000184261	KCNK12
ENSG00000268400	CTD-3214H19.4
ENSG00000131242	RAB11FIP4
ENSG00000273472	RP11-102N12.3
ENSG00000133874	RNF122
ENSG00000072682	P4HA2
ENSG00000273117	AC144652.1
ENSG00000224086	LL22NC03-86G7.1
ENSG00000167555	ZNF528
ENSG00000107554	DNMBP
ENSG00000260077	RP11-254F7.2
ENSG00000211890	IGHA2
ENSG00000158006	PAFAH2
ENSG00000181027	FKRP
ENSG00000117009	KMO
ENSG00000197355	UAP1L1
ENSG00000152056	AP1S3
ENSG00000138380	CARF
ENSG00000177337	DLGAP1-AS1
ENSG00000224137	AC079767.4
ENSG00000114013	CD86
ENSG00000172375	C2CD2L
ENSG00000020577	SAMD4A
ENSG00000165322	ARHGAP12
ENSG00000105519	CAPS
ENSG00000204217	BMPR2
ENSG00000260793	RP5-882C2.2
ENSG00000064547	LPAR2
ENSG00000261441	RP11-217B1.2
ENSG00000118965	WDR35
ENSG00000082269	FAM135A
ENSG00000166912	MTMR10
ENSG00000130508	PXDN
ENSG00000205057	CLLU1OS
ENSG00000081014	AP4E1
ENSG00000273723	RP11-93H24.3
ENSG00000272146	ARF4-AS1
ENSG00000243811	APOBEC3D
ENSG00000136870	ZNF189
ENSG00000049089	COL9A2
ENSG00000168916	ZNF608
ENSG00000105136	ZNF419
ENSG00000139289	PHLDA1
ENSG00000120889	TNFRSF10B
ENSG00000100453	GZMB
ENSG00000054392	HHAT
ENSG00000105245	NUMBL
ENSG00000108509	CAMTA2
ENSG00000196081	ZNF724P
ENSG00000198742	SMURF1
ENSG00000273456	RP11-686O6.2
ENSG00000105559	PLEKHA4
ENSG00000197081	IGF2R
ENSG00000267454	ZNF582-AS1
ENSG00000078804	TP53INP2
ENSG00000120370	GORAB
ENSG00000282386	RP11-422P24.12
ENSG00000162739	SLAMF6
ENSG00000155034	FBXL18
ENSG00000167984	NLRC3
ENSG00000167525	PROCA1
ENSG00000256771	ZNF253
ENSG00000103226	NOMO3
ENSG00000124191	TOX2
ENSG00000131981	LGALS3
ENSG00000118523	CTGF
ENSG00000149639	SOGA1
ENSG00000258940	RP11-407N17.5
ENSG00000047634	SCML1
ENSG00000272933	RP11-47A8.5
ENSG00000171596	NMUR1
ENSG00000128203	ASPHD2
ENSG00000166971	AKTIP
ENSG00000197818	SLC9A8
ENSG00000160685	ZBTB7B
ENSG00000181135	ZNF707
ENSG00000182472	CAPN12
ENSG00000185869	ZNF829
ENSG00000104427	ZC2HC1A
ENSG00000134444	KIAA1468
ENSG00000161929	SCIMP
ENSG00000163364	LINC01116
ENSG00000239282	GATSL3
ENSG00000235106	LINC00094
ENSG00000175489	LRRC25
ENSG00000214029	ZNF891
ENSG00000157693	C9orf91
